,fecha_ingreso,fecha_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,duracion_horas,exceso_velocidad_real,exceso_velocidad
count,474,474,447.0,474.0,474.0,401.0,474.0,474.0
mean,2015-01-28 10:37:58.481012736,2015-01-25 10:13:40.253164544,5035.174541387025,14.24198312236287,11.208860759493671,39.37901080631754,3.0331223628691983,2.4726793248945143
min,1900-01-01 00:00:00,1900-01-01 00:00:00,1422.1,10.6,10.0,0.35,0.5999999999999996,0.05000000000000071
25%,2021-01-04 06:00:00,2020-12-21 06:00:00,4088.69,12.8,10.0,21.533333333333335,1.5,0.9999999999999982
50%,2022-05-29 12:00:00,2022-05-25 00:00:00,5021.5,14.0,10.0,38.666666666666664,2.75,2.1999999999999993
75%,2023-10-22 06:00:00,2023-11-02 06:00:00,5981.719999999999,15.7,12.0,54.983333333333334,4.199999999999999,3.6749999999999994
max,2024-12-27 00:00:00,2024-12-28 00:00:00,8552.11,20.2,15.0,88.2,9.7,9.2
std,,,1283.7178116539399,2.0990154421425826,1.502867438835051,20.942815677250078,1.782704064626501,1.7986715189556688
